Sprint,Task ID,Task Name,Priority,Hours,Assignee,Start Date,End Date,Week,Dependencies,Status
Sprint 1,1.1,Solution Setup,P0,4,Backend Lead,2026-02-10,2026-02-10,1,,Not Started
Sprint 1,1.2,PostgreSQL Database Setup,P0,8,Backend,2026-02-10,2026-02-11,1,1.1,Not Started
Sprint 1,1.3,Angular Project Setup,P0,8,Frontend Lead,2026-02-10,2026-02-11,1,,Not Started
Sprint 1,1.4,JWT Authentication,P0,16,Backend,2026-02-12,2026-02-14,1-2,1.2,Not Started
Sprint 1,1.5,Login UI,P0,8,Frontend,2026-02-12,2026-02-13,1-2,1.3,Not Started
Sprint 2,2.1,Patient Domain Entities,P0,8,Backend,2026-02-17,2026-02-18,3,1.4,Not Started
Sprint 2,2.2,Patient CRUD API,P0,16,Backend,2026-02-18,2026-02-20,3,2.1,Not Started
Sprint 2,2.3,Patient Registration UI,P0,16,Frontend,2026-02-18,2026-02-20,3,1.5,Not Started
Sprint 2,2.4,Queue Ticket API,P0,12,Backend,2026-02-21,2026-02-24,3-4,2.2,Not Started
Sprint 2,2.5,SignalR Queue Hub,P1,8,Backend,2026-02-24,2026-02-25,4,2.4,Not Started
Sprint 2,2.6,Queue Display UI,P0,16,Frontend,2026-02-21,2026-02-25,4,2.3,Not Started
Sprint 3,3.1,Couple Management,P0,12,Backend,2026-03-03,2026-03-04,5,2.2,Not Started
Sprint 3,3.2,Treatment Cycle API,P0,16,Backend,2026-03-04,2026-03-06,5,3.1,Not Started
Sprint 3,3.3,Consultation Screen,P0,24,Frontend,2026-03-03,2026-03-07,5,2.6,Not Started
Sprint 3,3.4,Prescription API,P1,12,Backend,2026-03-10,2026-03-11,6,3.2,Not Started
Sprint 3,3.5,Prescription UI,P1,16,Frontend,2026-03-10,2026-03-12,6,3.3,Not Started
Sprint 4,4.1,Ultrasound Recording API,P0,16,Backend,2026-03-17,2026-03-19,7,3.2,Not Started
Sprint 4,4.2,Follicle Monitoring Form,P0,24,Frontend,2026-03-17,2026-03-21,7,3.3,Not Started
Sprint 4,4.3,Ultrasound History View,P1,12,Frontend,2026-03-24,2026-03-25,8,4.2,Not Started
Sprint 4,4.4,SA Phá»¥ Khoa Form,P1,16,Frontend,2026-03-24,2026-03-26,8,4.2,Not Started
Sprint 5,5.1,Embryo Domain Entities,P0,8,Backend,2026-03-31,2026-04-01,9,3.2,Not Started
Sprint 5,5.2,Embryo Tracking API,P0,20,Backend,2026-04-01,2026-04-03,9,5.1,Not Started
Sprint 5,5.3,Embryo Dashboard UI,P0,24,Frontend,2026-04-01,2026-04-04,9,4.2,Not Started
Sprint 5,5.4,Cryo Storage Management,P1,16,Backend,2026-04-07,2026-04-09,10,5.2,Not Started
Sprint 5,5.5,Cryo Map UI,P1,16,Frontend,2026-04-07,2026-04-09,10,5.3,Not Started
Sprint 6,6.1,Semen Analysis Domain,P0,8,Backend,2026-04-14,2026-04-15,11,5.2,Not Started
Sprint 6,6.2,Semen Analysis API,P0,16,Backend,2026-04-15,2026-04-17,11,6.1,Not Started
Sprint 6,6.3,Semen Analysis Form UI,P0,20,Frontend,2026-04-14,2026-04-17,11,5.3,Not Started
Sprint 6,6.4,Sperm Washing Module,P1,12,Full-stack,2026-04-21,2026-04-23,12,6.2,Not Started
Sprint 7,7.1,Sperm Donor Domain,P0,12,Backend,2026-04-28,2026-04-29,13,6.2,Not Started
Sprint 7,7.2,Sperm Bank API,P0,16,Backend,2026-04-29,2026-05-02,13,7.1,Not Started
Sprint 7,7.3,Donor Registration UI,P0,16,Frontend,2026-04-28,2026-05-01,13,6.3,Not Started
Sprint 7,7.4,Donor-Couple Matching,P1,12,Backend,2026-05-05,2026-05-06,14,7.2,Not Started
Sprint 7,7.5,HIV Retest Tracking,P1,8,Full-stack,2026-05-06,2026-05-07,14,7.2,Not Started
Sprint 8,8.1,Invoice Domain,P0,12,Backend,2026-05-12,2026-05-13,15,7.2,Not Started
Sprint 8,8.2,Invoice API,P0,20,Backend,2026-05-13,2026-05-16,15,8.1,Not Started
Sprint 8,8.3,Billing UI,P0,24,Frontend,2026-05-12,2026-05-16,15,7.3,Not Started
Sprint 8,8.4,Service Price Management,P1,12,Backend,2026-05-19,2026-05-20,16,8.2,Not Started
Sprint 8,8.5,Pharmacy Module,P1,16,Full-stack,2026-05-19,2026-05-21,16,8.3,Not Started
Sprint 9,9.1,Reports API,P0,24,Backend,2026-05-26,2026-05-29,17,8.2,Not Started
Sprint 9,9.2,Analytics Dashboard UI,P0,24,Frontend,2026-05-26,2026-05-29,17,8.3,Not Started
Sprint 9,9.3,Performance Optimization,P1,16,Backend,2026-06-02,2026-06-04,18,9.1,Not Started
Sprint 9,9.4,UI/UX Polish,P1,24,Frontend,2026-06-02,2026-06-05,18,9.2,Not Started
Sprint 9,9.5,Testing & Bug Fixes,P0,40,All,2026-06-02,2026-06-06,18,All,Not Started
Sprint 9,9.6,Documentation,P1,16,All,2026-06-05,2026-06-06,18,9.5,Not Started
